  seq_len    d_model    n_heads  sparsity    dense_time    sparse_time
---------  ---------  ---------  ----------  ------------  -------------
      512         64          1  50%         575.40 µs     16.26 ms
      512         64          1  70%         516.75 µs     9.19 ms
      512         64          1  90%         448.57 µs     3.27 ms
      512         64          1  95%         449.14 µs     1.53 ms
      512         64          1  99%         457.62 µs     336.74 µs
      512         64          4  50%         2.32 ms       18.96 ms
      512         64          4  70%         2.15 ms       11.48 ms
      512         64          4  90%         1.73 ms       4.00 ms
      512         64          4  95%         1.70 ms       2.06 ms
      512         64          4  99%         1.70 ms       413.28 µs
      512         64          8  50%         4.68 ms       25.87 ms
      512         64          8  70%         3.62 ms       14.62 ms
      512         64          8  90%         2.91 ms       5.05 ms
      512         64          8  95%         2.90 ms       2.55 ms
      512         64          8  99%         2.84 ms       577.38 µs
      512        256          1  50%         710.06 µs     48.93 ms
      512        256          1  70%         787.78 µs     30.05 ms
      512        256          1  90%         554.25 µs     9.64 ms
      512        256          1  95%         537.82 µs     3.93 ms
      512        256          1  99%         575.87 µs     946.24 µs
      512        256          4  50%         2.12 ms       52.72 ms
      512        256          4  70%         1.88 ms       32.71 ms
      512        256          4  90%         1.61 ms       10.30 ms
      512        256          4  95%         1.57 ms       4.40 ms
      512        256          4  99%         1.55 ms       1.29 ms
      512        256          8  50%         4.16 ms       53.92 ms
      512        256          8  70%         3.63 ms       34.28 ms
      512        256          8  90%         3.02 ms       11.10 ms
      512        256          8  95%         2.91 ms       4.71 ms
      512        256          8  99%         3.10 ms       1.14 ms
     1024         64          1  50%         2.14 ms       58.39 ms
     1024         64          1  70%         1.88 ms       36.93 ms
     1024         64          1  90%         1.59 ms       11.76 ms
     1024         64          1  95%         1.51 ms       5.31 ms
     1024         64          1  99%         1.51 ms       1.24 ms
     1024         64          4  50%         6.68 ms       73.14 ms
     1024         64          4  70%         5.50 ms       45.48 ms
     1024         64          4  90%         4.46 ms       14.74 ms
     1024         64          4  95%         4.22 ms       6.69 ms
     1024         64          4  99%         4.20 ms       1.61 ms
     1024         64          8  50%         15.72 ms      95.42 ms
     1024         64          8  70%         13.58 ms      58.50 ms
     1024         64          8  90%         11.36 ms      19.54 ms
     1024         64          8  95%         11.05 ms      9.67 ms
     1024         64          8  99%         10.46 ms      2.14 ms
     1024        256          1  50%         2.83 ms       194.92 ms
     1024        256          1  70%         2.29 ms       116.93 ms
     1024        256          1  90%         2.08 ms       37.22 ms
     1024        256          1  95%         1.95 ms       18.65 ms
     1024        256          1  99%         1.89 ms       3.35 ms
     1024        256          4  50%         7.81 ms       199.19 ms
     1024        256          4  70%         6.93 ms       120.36 ms
     1024        256          4  90%         5.83 ms       38.98 ms
     1024        256          4  95%         5.62 ms       19.56 ms
     1024        256          4  99%         5.31 ms       3.51 ms
     1024        256          8  50%         15.80 ms      201.87 ms
     1024        256          8  70%         13.37 ms      124.75 ms
     1024        256          8  90%         11.39 ms      44.27 ms
     1024        256          8  95%         10.80 ms      21.58 ms
     1024        256          8  99%         10.75 ms      4.27 ms
